sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,220,47024,108,2429625,323134.1738391152,0.0,0.08425103130921507,2.949767428857663,35851.92727272727
/css/anylinkmenu.css,35,621,2,5338,1391.2306324449087,0.0,0.013443002629067228,0.02515311820048126,1916.0
/js/anylinkmenu.js,35,806,3,17002,2918.140517241647,0.0,0.013442956159831371,0.17210659692909108,13110.0
/language_tmp/en.js,35,473,2,11094,1852.6162980377512,0.0,0.013442832243439706,0.061647988491399276,4696.0
/js/common.js,35,266,5,1841,429.2947286907127,0.0,0.013439017769069295,0.5621420391626417,42833.0
/js/AC_ActiveX.js,35,246,3,2489,516.9474453215624,0.0,0.013438383093746162,0.03349097036644551,2552.0
/js/AC_RunActiveContent.js,35,293,2,5583,953.2221686769265,0.0,0.013436350472230135,0.04961214954638881,3781.0
/images//world_map.gif,35,170,3,1902,354.5774789399752,0.0,0.013435391123429018,0.015718357974480436,1198.0
/js/jquery.js,70,1448,8,7818,2341.781175228177,0.0,0.026588885314160975,1.4871080465943625,57272.0
/js/jquery.flash.js,35,491,2,5305,1147.8822680155356,0.0,0.013417940476482567,0.11537594325725489,8805.0
/js/JavaScriptFlashGateway.js,35,350,2,3806,905.3202225213588,0.0,0.013417405518463883,0.17547450654616045,13392.0
/js/login.js,35,152,3,979,249.1108858909778,0.0,0.013416865459889897,0.020898340242699594,1595.0
/images/spacer.gif,35,131,2,1501,254.8920155513639,0.0,0.013416248303323742,5.633776142997274E-4,43.0
/js/facebook.js,35,180,2,1943,430.6951703884296,0.0,0.013415543785651808,0.07011717806719577,5352.0
/css/pl_facebook.css,35,83,2,798,137.69974434194398,0.0,0.013415152990237602,0.048315511941402614,3688.0
/images/icon-abtus.gif,35,126,2,2350,391.36539010422035,0.0,0.013415065578589862,0.007925893237350455,605.0
/images/PL-bbb-logo.gif,35,495,2,13897,2302.4722400772894,0.0,0.013414983309844336,0.03658989100038597,2793.0
/ga.js,171,14108,7,2401844,183131.07042800513,0.0,0.06493052813200566,1.5939049664592055,25137.0
/images/surveyhead/fb-BG.png,35,370,207,2329,350.7130928114714,0.0,0.013413086266839172,0.045649028945248554,3485.0
/__utm.gif,171,53,4,2069,207.39445979607444,0.0,0.0649395530487791,0.002219613629596942,35.0
/quant.js,171,102,4,2172,286.52493770493186,0.0,0.06493930643301682,0.3338920394236655,5265.0
/pixel;r=1210992683;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2F;ref=;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886605750;tzo=420;a=p-833T_QPdA5xtA,35,76,3,787,170.30565559173485,0.0,0.013410773525753667,4.583760482435335E-4,35.0
/js/api_lib/v0.4/FeatureLoader.js.php/en_US,171,236,2,7946,1026.8888764668422,0.0,0.06493883786822884,1.1635746635949837,18348.040935672514
/bootstrap/7aef8cd3bbb8833043cfd92aa8c6f1db/bootstrap.js,35,40,2,238,54.8619045552428,0.0,0.013410413837707937,0.016134404148492366,1232.0
/connect.php/en_US/js/Api/CanvasUtil/Connect/XFBML,171,96,6,3462,324.6486540960994,0.0,0.06493782677777744,13.406206363963987,211401.52046783626
/flash/CB_Cookie.swf,35,161,3,726,206.8480582061951,0.0,0.013409576353169929,0.03162512391885291,2415.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,171,14173,2,2401844,183126.6193711975,0.0,0.06493762949550677,0.904591295708876,14264.479532163743
/extern/login_status.php,171,194,23,2482,345.97557988606764,0.0,0.0649357307149424,0.003678000372526034,58.0
/rsrc.php/z6D2S/hash/c729bxo3.swf,35,47,2,752,125.71972715496311,0.0,0.013409478739079895,0.03996653233561703,3052.0
/flash/JavaScriptFlashGateway.swf,35,559,3,8949,1954.9601718371114,0.0,0.013409437638835571,0.02332246917457632,1781.0
/images/connect_sprite.png,35,29,2,189,40.87002793825164,0.0,0.013409406813817665,0.025090257280541647,1916.0
/index.php,45,65164,566,2455191,360417.9417264475,0.6444444444444445,0.017185680585413025,0.192613139779924,11476.755555555555
/dashboard.php,35,77530,307,2445095,406067.181937468,0.8285714285714286,0.013320479704726829,0.06756278132377405,5193.828571428571
