318292,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzE4Mjky,Fixed CPI-Show
318294,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzE4Mjk0,Fixed CPI-Dont Show
318295,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzE4Mjk1,WholeCPI-Show
318297,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzE4Mjk3,WholeCPI-Hide
319458,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzE5NDU4,CPI After Reward Cost-Show
319459,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzE5NDU5,CPI After Reward Cost-Dont Show
321142,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzIxMTQy,WholeCPI/CPIAfterReward-Show (US)
321143,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzIxMTQz,WholeCPI/CPIAfterReward-Hide (US)
321158,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzIxMTU4,WholeCPI/CPIAfterReward-Sweepstake (US)
321161,/add_quota_group.php?project_id=NzE1NzI=&quota_group_id=MzIxMTYx,First CPI
